NAME(Used only as reminder for value);VALUE;LABEL
OdBm::DisplayUnitType::DUT_KILOGRAMS_MASS_PER_METER;212;Kilograms per meter
OdBm::DisplayUnitType::DUT_POUNDS_MASS_PER_FOOT;213;Pounds per foot
OdBm::DisplayUnitType::DUT_RADIANS;214;Radians
OdBm::DisplayUnitType::DUT_GRADS;215;Grads
OdBm::DisplayUnitType::DUT_RADIANS_PER_SECOND;216;Radians per second
OdBm::DisplayUnitType::DUT_MILISECONDS;217;Milliseconds
OdBm::DisplayUnitType::DUT_SECONDS;218;Seconds
OdBm::DisplayUnitType::DUT_MINUTES;219;Minutes
OdBm::DisplayUnitType::DUT_HOURS;220;Hours
OdBm::DisplayUnitType::DUT_KILOMETERS_PER_HOUR;221;Kilometers per hour
OdBm::DisplayUnitType::DUT_MILES_PER_HOUR;222;Miles per hour
OdBm::DisplayUnitType::DUT_KILOJOULES;223;Kilojoules
OdBm::DisplayUnitType::DUT_KILOGRAMS_MASS_PER_SQUARE_METER;224;Kilograms per square meter
OdBm::DisplayUnitType::DUT_POUNDS_MASS_PER_SQUARE_FOOT;225;Pounds per square foot
OdBm::DisplayUnitType::DUT_WATTS_PER_METER_KELVIN;226;Watts per meter kelvin
OdBm::DisplayUnitType::DUT_JOULES_PER_GRAM_CELSIUS;227;Joules per gram Celsius
OdBm::DisplayUnitType::DUT_JOULES_PER_GRAM;228;Joules per gram
OdBm::DisplayUnitType::DUT_NANOGRAMS_PER_PASCAL_SECOND_SQUARE_METER;229;Nanograms per pascal second square meter
OdBm::DisplayUnitType::DUT_OHM_METERS;230;Ohm meters
OdBm::DisplayUnitType::DUT_BRITISH_THERMAL_UNITS_PER_HOUR_FOOT_FAHRENHEIT;231;BTU (British Thermal Units) per hour foot degree Fahrenheit
OdBm::DisplayUnitType::DUT_BRITISH_THERMAL_UNITS_PER_POUND_FAHRENHEIT;232;BTU (British Thermal Units) per pound Fahrenheit
OdBm::DisplayUnitType::DUT_BRITISH_THERMAL_UNITS_PER_POUND;233;BTU (British Thermal Units) per pound
OdBm::DisplayUnitType::DUT_GRAINS_PER_HOUR_SQUARE_FOOT_INCH_MERCURY;234;Grains per hour square foot inch mercury
OdBm::DisplayUnitType::DUT_PER_MILLE;235;Per mille
OdBm::DisplayUnitType::DUT_DECIMETERS;236;Decimeters
OdBm::DisplayUnitType::DUT_JOULES_PER_KILOGRAM_CELSIUS;237;Joules per kilogram Celsius
OdBm::DisplayUnitType::DUT_MICROMETERS_PER_METER_CELSIUS;238;Micrometers per meter Celsius
OdBm::DisplayUnitType::DUT_MICROINCHES_PER_INCH_FAHRENHEIT;239;Microinches per inch Fahrenheit
OdBm::DisplayUnitType::DUT_USTONNES_MASS;240;US tonnes
OdBm::DisplayUnitType::DUT_USTONNES_FORCE;241;US tonnes
OdBm::DisplayUnitType::DUT_LITERS_PER_MINUTE;242;Liters per minute
OdBm::DisplayUnitType::DUT_FAHRENHEIT_DIFFERENCE;243;Fahrenheit
OdBm::DisplayUnitType::DUT_CELSIUS_DIFFERENCE;244;Celsius
OdBm::DisplayUnitType::DUT_KELVIN_DIFFERENCE;245;Kelvin
OdBm::DisplayUnitType::DUT_RANKINE_DIFFERENCE;246;Rankine
